District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2020,7.0,23.08429639,75.824305,False
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2021,9.0,23.08429639,75.824305,True
Ujjain,Ninora,Madhya Pradesh,Madhya Pradesh GW,2022,10.0,23.08429639,75.824305,True
Ujjain,Palkhanda,Madhya Pradesh,Madhya Pradesh GW,2015,11.05,23.03758472,75.95331139,False
Ujjain,Palkhanda,Madhya Pradesh,Madhya Pradesh GW,2016,10.0,23.03758472,75.95331139,False
Ujjain,Palkhanda,Madhya Pradesh,Madhya Pradesh GW,2017,10.45,23.03758472,75.95331139,False
Ujjain,Palkhanda,Madhya Pradesh,Madhya Pradesh GW,2018,12.85,23.03758472,75.95331139,False
Ujjain,Palkhanda,Madhya Pradesh,Madhya Pradesh GW,2019,8.05,23.03758472,75.95331139,False
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2015,6.8,23.21626167,75.86845861,False
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2016,7.05,23.21626167,75.86845861,False
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2017,7.25,23.21626167,75.86845861,False
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2018,7.8,23.21626167,75.86845861,False
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2019,5.5,23.21626167,75.86845861,False
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2020,5.1,23.21626167,75.86845861,False
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2021,7.1,23.21626167,75.86845861,True
Ujjain,Pingleshwar,Madhya Pradesh,Madhya Pradesh GW,2022,8.1,23.21626167,75.86845861,True
Ujjain,Tankariyapanth,Madhya Pradesh,Madhya Pradesh GW,2015,7.35,23.07398,75.68947778,False
Ujjain,Tankariyapanth,Madhya Pradesh,Madhya Pradesh GW,2016,7.5,23.07398,75.68947778,False
Ujjain,Tankariyapanth,Madhya Pradesh,Madhya Pradesh GW,2017,7.7,23.07398,75.68947778,False
Ujjain,Tankariyapanth,Madhya Pradesh,Madhya Pradesh GW,2018,7.35,23.07398,75.68947778,False
Ujjain,Tankariyapanth,Madhya Pradesh,Madhya Pradesh GW,2019,4.6,23.07398,75.68947778,False
